구성,지표수,PC1_설명력,PC2_설명력,PC1_1위,군집_승패_일치
골드 포함 (13개),13,0.3894,0.0928,GoldDiff,0.7263
골드 제외 (12개),12,0.3437,0.1005,ExpDiff,0.7229
