cluster,n,blue_winrate,GoldDiff,ExpDiff,KillsDiff,DragonsDiff,HeraldsDiff,TowersDestroyedDiff,WardsPlacedDiff,share_%
0,3895,0.73,1936.54,1412.33,3.18,0.2,0.15,0.09,0.63,49.3
1,4008,0.28,-1837.66,-1424.04,-2.98,-0.3,-0.1,-0.06,-0.98,50.7
